AuthorID,BrandID,ScreenName,InfluencerCategory,Channel
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1593500509666615296,7527,PratikshaPohak2,Security Forces,Twitter
1593500509666615296,7527,PratikshaPohak2,Film Maker,Twitterbrandmention
1593500509666615296,7527,PratikshaPohak2,Film Maker,PublicTweets
1593500509666615296,7527,PratikshaPohak2,Security Forces,Twitter
1593500509666615296,7527,PratikshaPohak2,Film Maker,Twitterbrandmention
1593500509666615296,7527,PratikshaPohak2,Film Maker,PublicTweets
1593500509666615296,7527,PratikshaPohak2,Security Forces,Twitter
1593500509666615296,7527,PratikshaPohak2,Film Maker,Twitterbrandmention
1593500509666615296,7527,PratikshaPohak2,Film Maker,PublicTweets
1593500509666615296,7527,PratikshaPohak2,Security Forces,Twitter
1593500509666615296,7527,PratikshaPohak2,Film Maker,Twitterbrandmention
1593500509666615296,7527,PratikshaPohak2,Film Maker,PublicTweets
1593500509666615296,7527,PratikshaPohak2,Security Forces,Twitter
1593500509666615296,7527,PratikshaPohak2,Film Maker,Twitterbrandmention
1593500509666615296,7527,PratikshaPohak2,Film Maker,PublicTweets
1613223294530117632,7527,locobuzz678,Designer,Twitterbrandmention
1613223294530117632,7527,locobuzz678,Designer,Twitterbrandmention
1532241237314781185,7527,PratikP24690619,Designer,PublicTweets
1532241237314781185,7527,PratikP24690619,Designer,Twitterbrandmention
1681926394908119042,7527,testbitpla9398,Banking Services,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1503977213695184900,7142,Hello_loco123,Police,Twitter
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
17841451615617648,7148,sejallocobuzz,Automobile,Instagram
1506168403421437952,7118,MujumdarSmita," Automobile Journalist",Twitter
6597368963714114,7118,,Anchor,Facebook
6597368963714114,7118,,Anchor,Facebook
6597368963714114,7118,,Anchor,Facebook
6597368963714114,7118,,Anchor,Facebook
6597368963714114,7118,,Anchor,Facebook
1506168403421437952,7118,MujumdarSmita," Automobile Journalist",Twitter
1506168403421437952,7118,MujumdarSmita," Automobile Journalist",Twitter
1506168403421437952,7118,MujumdarSmita," Automobile Journalist",Twitter
1506168403421437952,7118,MujumdarSmita," Automobile Journalist",Twitter
1506168403421437952,7118,MujumdarSmita," Automobile Journalist",Twitter
1506168403421437952,7118,MujumdarSmita," Automobile Journalist",Twitter
6597368963714114,7118,,Anchor,Facebook
1506168403421437952,7118,MujumdarSmita," Automobile Journalist",Twitter
801008822974152704,7142,parivellisandee,Police,twitter
