"RecordDate","Sentiment","Author","AuthorID","ScreenName","ChannelGroupID","IsBrandPost","PostType","BrandName","InfluencerCategory","IsAuthorInfluencer"
2023-12-16,Neutral,Rajesh Verma,"24400296256285344",,2,0,4,TATADigital,,0
2023-12-16,Neutral,مكتب الاستقدام الهند مومباي,"3309156380",umark078,1,0,8,TATADigital,,0
2023-12-16,Neutral,tataneuofficial,"17841448587876084",tataneuofficial,3,1,7,TATADigital,,0
2023-12-16,Neutral,DealBee Deals,"2923571768",DealBeeOfficial,1,0,8,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Positive,lucky_leo___,"25200960266169525",lucky_leo___,3,0,6,TATADigital,,0
2023-12-16,Positive,Deepak Amroya,"6810734789034470",,2,0,4,TATADigital,,0
2023-12-16,Positive,prince__mohammad_74,"24535298232752334",prince__mohammad_74,3,0,4,TATADigital,,0
2023-12-16,Neutral,Saransh Goyal,"3312543092",goyalsaransh97,1,0,11,TATADigital,,0
2023-12-16,Neutral,tataneuofficial,"17841448587876084",tataneuofficial,3,1,7,TATADigital,,0
2023-12-16,Neutral,DealBee Deals,"2923571768",DealBeeOfficial,1,0,8,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Positive,Nitesh R,"430271392",niteshrakhyani,1,0,8,TATADigital,,0
2023-12-16,Neutral,diffident_raghav,"6824086801020446",diffident_raghav,3,0,6,TATADigital,,0
2023-12-16,Negative,Viswanaathan AR,"24954839057433772",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Nilesh Kumar Dahare,"5281887135270639",,2,0,4,TATADigital,,0
2023-12-16,Neutral,tataneuofficial,"17841448587876084",tataneuofficial,3,1,7,TATADigital,,0
2023-12-16,Neutral,DealBee Deals,"2923571768",DealBeeOfficial,1,0,8,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Neutral,Pintu Nishad,"5697659766913391",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Sachin Tomar,"6829716860416927",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Surya Ast Yadav Mast,"25020717750848727","",2,0,6,TATADigital,,0
2023-12-16,Neutral,arhaan_jaat_7,"5575763572513557",arhaan_jaat_7,3,0,6,TATADigital,,0
2023-12-16,Neutral,tataneuofficial,"17841448587876084",tataneuofficial,3,1,7,TATADigital,,0
2023-12-16,Neutral,krishna vamsi,"4379732954",krishna27352811,1,0,11,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,1,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Negative,Natreya,"59d46d72-d3dc-4d88-aa4f-8d4b745e5c23",,30,0,14,TATADigital,,0
2023-12-16,Positive,Polly Dutta,"6834458466608259",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Surya Ast Yadav Mast,"25020717750848727","",2,0,6,TATADigital,,0
2023-12-16,Positive,Vinu Boxer,"5678935255564465",,2,0,4,TATADigital,,0
2023-12-16,Neutral,tataneuofficial,"17841448587876084",tataneuofficial,3,1,7,TATADigital,,0
2023-12-16,Neutral,Shalu Jain,"5264274540362871",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Positive,Nethaji Nethaji,"6188389947865653",,2,0,4,TATADigital,,0
2023-12-16,Neutral,rajborosna,"6858893024223757",rajborosna,3,0,6,TATADigital,,0
2023-12-16,Neutral,Surya Ast Yadav Mast,"25020717750848727","",2,0,6,TATADigital,,0
2023-12-16,Neutral,Ganapathi K,"5720620988062906","",2,0,6,TATADigital,,0
2023-12-16,Neutral,tataneuofficial,"17841448587876084",Tata Neu,3,1,1,TATADigital,,0
2023-12-16,Neutral,Ratan Jain,"5310525832404688",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Positive,Gourav Saini,"6397990950236377",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Syad Sadiq Syad Sadiq,"6891008050936878",,2,0,4,TATADigital,,0
2023-12-16,Positive,Mohit Kashyap,"25332668619666061","",2,0,6,TATADigital,,0
2023-12-16,Neutral,r_ritik_001,"5864357350259856",r_ritik_001,3,0,6,TATADigital,,0
2023-12-16,Neutral,tataneuofficial,"17841448587876084",tataneuofficial,3,1,7,TATADigital,,0
2023-12-16,Neutral,Sukhbir Singh,"6010614062383714",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,7,TATADigital,Redundant,1
