"InsertedDate","TicketID","BrandID","FirstlevelTAT_Seconds","TotalTAT_Seconds","IsTicketClosed","AssignToAgentUserID","ClosedBy","BrandName"
2023-12-06,435855,6954,,155,1,,14813,TATADigital
2023-12-06,435856,6954,,1241,1,,14813,TATADigital
2023-12-06,435857,6954,,1240,1,,14813,TATADigital
2023-12-06,435846,6954,,187,1,,14813,TATADigital
2023-12-06,435847,6954,,186,1,,14813,TATADigital
2023-12-06,435848,6954,,184,1,,14813,TATADigital
2023-12-06,435849,6954,,179,1,,14813,TATADigital
2023-12-06,435850,6954,,174,1,,14813,TATADigital
2023-12-06,435851,6954,,164,1,,14813,TATADigital
2023-12-06,435840,6954,,199,1,,14813,TATADigital
2023-12-06,435841,6954,,198,1,,14813,TATADigital
2023-12-06,435842,6954,,196,1,,14813,TATADigital
2023-12-06,435843,6954,,194,1,,14813,TATADigital
2023-12-06,435844,6954,,192,1,,14813,TATADigital
2023-12-06,435845,6954,,190,1,,14813,TATADigital
2023-12-06,435834,6954,,208,1,,14813,TATADigital
2023-12-06,435835,6954,,207,1,,14813,TATADigital
2023-12-06,435836,6954,,205,1,,14813,TATADigital
2023-12-06,435837,6954,,204,1,,14813,TATADigital
2023-12-06,435838,6954,,202,1,,14813,TATADigital
2023-12-06,435839,6954,,201,1,,14813,TATADigital
2023-12-06,435828,6954,,235,1,,14813,TATADigital
2023-12-06,435829,6954,,224,1,,14813,TATADigital
2023-12-06,435830,6954,,223,1,,14813,TATADigital
2023-12-06,435831,6954,,212,1,,14813,TATADigital
2023-12-06,435832,6954,,211,1,,14813,TATADigital
2023-12-06,435833,6954,,210,1,,14813,TATADigital
2023-12-06,435822,6954,,252,1,,14813,TATADigital
2023-12-06,435823,6954,,250,1,,14813,TATADigital
2023-12-06,435824,6954,,248,1,,14813,TATADigital
2023-12-06,435825,6954,,245,1,,14813,TATADigital
2023-12-06,435826,6954,,244,1,,14813,TATADigital
2023-12-06,435827,6954,,240,1,,14813,TATADigital
2023-12-06,435816,6954,,265,1,,14813,TATADigital
2023-12-06,435817,6954,,263,1,,14813,TATADigital
2023-12-06,435818,6954,,261,1,,14813,TATADigital
2023-12-06,435819,6954,,260,1,,14813,TATADigital
2023-12-06,435820,6954,,258,1,,14813,TATADigital
2023-12-06,435821,6954,,257,1,,14813,TATADigital
2023-12-06,435810,6954,,129,1,,14813,TATADigital
2023-12-06,435811,6954,,274,1,,14813,TATADigital
2023-12-06,435812,6954,,271,1,,14813,TATADigital
2023-12-06,435813,6954,,270,1,,14813,TATADigital
2023-12-06,435814,6954,,268,1,,14813,TATADigital
2023-12-06,435815,6954,,266,1,,14813,TATADigital
2023-12-06,435804,6954,,164,1,,14813,TATADigital
